{ 1 JetEta 1 JetPt 1./[0] Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9767 0.0 0.0
-3.8390 -3.4890 5 10 6500 1.0043 0.0 0.0
-3.4890 -3.1390 5 10 6500 0.9892 0.0 0.0
-3.1390 -2.9640 5 10 6500 0.9897 0.0 0.0
-2.9640 -2.8530 5 10 6500 1.0126 0.0 0.0
-2.8530 -2.6500 5 10 6500 1.0222 0.0 0.0
-2.6500 -2.5000 5 10 6500 0.9985 0.0 0.0
-2.5000 -2.3220 5 10 6500 0.9973 0.0 0.0
-2.3220 -2.1720 5 10 6500 0.9869 0.0 0.0
-2.1720 -1.9300 5 10 6500 0.9920 0.0 0.0
-1.9300 -1.6530 5 10 6500 0.9894 0.0 0.0
-1.6530 -1.4790 5 10 6500 0.9889 0.0 0.0
-1.4790 -1.3050 5 10 6500 0.9965 0.0 0.0
-1.3050 -1.0440 5 10 6500 0.9952 0.0 0.0
-1.0440 -0.7830 5 10 6500 0.9962 0.0 0.0
-0.7830 -0.5220 5 10 6500 0.9975 0.0 0.0
-0.5220 -0.2610 5 10 6500 1.0002 0.0 0.0
-0.2610 -0.0000 5 10 6500 1.0020 0.0 0.0
0.0000 0.2610 5 10 6500 1.0020 0.0 0.0
0.2610 0.5220 5 10 6500 1.0002 0.0 0.0
0.5220 0.7830 5 10 6500 0.9975 0.0 0.0
0.7830 1.0440 5 10 6500 0.9962 0.0 0.0
1.0440 1.3050 5 10 6500 0.9952 0.0 0.0
1.3050 1.4790 5 10 6500 0.9965 0.0 0.0
1.4790 1.6530 5 10 6500 0.9889 0.0 0.0
1.6530 1.9300 5 10 6500 0.9894 0.0 0.0
1.9300 2.1720 5 10 6500 0.9920 0.0 0.0
2.1720 2.3220 5 10 6500 0.9869 0.0 0.0
2.3220 2.5000 5 10 6500 0.9973 0.0 0.0
2.5000 2.6500 5 10 6500 0.9985 0.0 0.0
2.6500 2.8530 5 10 6500 1.0222 0.0 0.0
2.8530 2.9640 5 10 6500 1.0126 0.0 0.0
2.9640 3.1390 5 10 6500 0.9897 0.0 0.0
3.1390 3.4890 5 10 6500 0.9892 0.0 0.0
3.4890 3.8390 5 10 6500 1.0043 0.0 0.0
3.8390 5.1910 5 10 6500 0.9767 0.0 0.0
