{ 1 JetEta 1 JetPt 1./[0] Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.9033 0.0 0.0
-3.8390 -3.4890 5 10 6500 0.9838 0.0 0.0
-3.4890 -3.1390 5 10 6500 1.0227 0.0 0.0
-3.1390 -2.9640 5 10 6500 1.0176 0.0 0.0
-2.9640 -2.8530 5 10 6500 1.1516 0.0 0.0
-2.8530 -2.6500 5 10 6500 1.1470 0.0 0.0
-2.6500 -2.5000 5 10 6500 1.0603 0.0 0.0
-2.5000 -2.3220 5 10 6500 0.9718 0.0 0.0
-2.3220 -2.1720 5 10 6500 0.9538 0.0 0.0
-2.1720 -1.9300 5 10 6500 0.9737 0.0 0.0
-1.9300 -1.6530 5 10 6500 0.9747 0.0 0.0
-1.6530 -1.4790 5 10 6500 0.9732 0.0 0.0
-1.4790 -1.3050 5 10 6500 0.9782 0.0 0.0
-1.3050 -1.0440 5 10 6500 0.9684 0.0 0.0
-1.0440 -0.7830 5 10 6500 0.9835 0.0 0.0
-0.7830 -0.5220 5 10 6500 0.9819 0.0 0.0
-0.5220 -0.2610 5 10 6500 0.9795 0.0 0.0
-0.2610 -0.0000 5 10 6500 0.9806 0.0 0.0
0.0000 0.2610 5 10 6500 0.9806 0.0 0.0
0.2610 0.5220 5 10 6500 0.9795 0.0 0.0
0.5220 0.7830 5 10 6500 0.9819 0.0 0.0
0.7830 1.0440 5 10 6500 0.9835 0.0 0.0
1.0440 1.3050 5 10 6500 0.9684 0.0 0.0
1.3050 1.4790 5 10 6500 0.9782 0.0 0.0
1.4790 1.6530 5 10 6500 0.9732 0.0 0.0
1.6530 1.9300 5 10 6500 0.9747 0.0 0.0
1.9300 2.1720 5 10 6500 0.9737 0.0 0.0
2.1720 2.3220 5 10 6500 0.9538 0.0 0.0
2.3220 2.5000 5 10 6500 0.9718 0.0 0.0
2.5000 2.6500 5 10 6500 1.0603 0.0 0.0
2.6500 2.8530 5 10 6500 1.1470 0.0 0.0
2.8530 2.9640 5 10 6500 1.1516 0.0 0.0
2.9640 3.1390 5 10 6500 1.0176 0.0 0.0
3.1390 3.4890 5 10 6500 1.0227 0.0 0.0
3.4890 3.8390 5 10 6500 0.9838 0.0 0.0
3.8390 5.1910 5 10 6500 0.9033 0.0 0.0
