{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 1.0678 0.6947 0.0
-3.8390 -3.4890 5 10 6500 1.0105 0.0665 0.0
-3.4890 -3.1390 5 10 6500 0.9978 -0.0425 0.0
-3.1390 -2.9640 5 10 6500 0.9891 -0.1229 0.0
-2.9640 -2.8530 5 10 6500 1.0163 -0.0850 0.0
-2.8530 -2.6500 5 10 6500 1.0057 -0.0320 0.0
-2.6500 -2.5000 5 10 6500 1.0013 0.0066 0.0
-2.5000 -2.3220 5 10 6500 1.0023 -0.0012 0.0
-2.3220 -2.1720 5 10 6500 1.0006 0.0028 0.0
-2.1720 -1.9300 5 10 6500 0.9994 -0.0082 0.0
-1.9300 -1.6530 5 10 6500 1.0003 -0.0238 0.0
-1.6530 -1.4790 5 10 6500 0.9991 -0.0150 0.0
-1.4790 -1.3050 5 10 6500 0.9994 -0.0023 0.0
-1.3050 -1.0440 5 10 6500 1.0003 -0.0056 0.0
-1.0440 -0.7830 5 10 6500 1.0003 -0.0034 0.0
-0.7830 -0.5220 5 10 6500 0.9999 -0.0000 0.0
-0.5220 -0.2610 5 10 6500 1.0004 -0.0050 0.0
-0.2610 -0.0000 5 10 6500 1.0000 0.0025 0.0
0.0000 0.2610 5 10 6500 1.0000 0.0025 0.0
0.2610 0.5220 5 10 6500 1.0004 -0.0050 0.0
0.5220 0.7830 5 10 6500 0.9999 -0.0000 0.0
0.7830 1.0440 5 10 6500 1.0003 -0.0034 0.0
1.0440 1.3050 5 10 6500 1.0003 -0.0056 0.0
1.3050 1.4790 5 10 6500 0.9994 -0.0023 0.0
1.4790 1.6530 5 10 6500 0.9991 -0.0150 0.0
1.6530 1.9300 5 10 6500 1.0003 -0.0238 0.0
1.9300 2.1720 5 10 6500 0.9994 -0.0082 0.0
2.1720 2.3220 5 10 6500 1.0006 0.0028 0.0
2.3220 2.5000 5 10 6500 1.0023 -0.0012 0.0
2.5000 2.6500 5 10 6500 1.0013 0.0066 0.0
2.6500 2.8530 5 10 6500 1.0057 -0.0320 0.0
2.8530 2.9640 5 10 6500 1.0163 -0.0850 0.0
2.9640 3.1390 5 10 6500 0.9891 -0.1229 0.0
3.1390 3.4890 5 10 6500 0.9978 -0.0425 0.0
3.4890 3.8390 5 10 6500 1.0105 0.0665 0.0
3.8390 5.1910 5 10 6500 1.0678 0.6947 0.0
