{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-5.1910 -3.8390 5 10 6500 0.8407 -0.8343 0.0
-3.8390 -3.4890 5 10 6500 1.0207 0.1572 0.0
-3.4890 -3.1390 5 10 6500 0.9843 -0.2332 0.0
-3.1390 -2.9640 5 10 6500 1.0063 0.7910 0.0
-2.9640 -2.8530 5 10 6500 1.0357 0.5654 0.0
-2.8530 -2.6500 5 10 6500 0.9766 0.5531 0.0
-2.6500 -2.5000 5 10 6500 1.0223 -0.2265 0.0
-2.5000 -2.3220 5 10 6500 1.0004 0.0441 0.0
-2.3220 -2.1720 5 10 6500 0.9989 -0.0200 0.0
-2.1720 -1.9300 5 10 6500 1.0031 0.0345 0.0
-1.9300 -1.6530 5 10 6500 0.9976 0.0133 0.0
-1.6530 -1.4790 5 10 6500 1.0007 0.0029 0.0
-1.4790 -1.3050 5 10 6500 0.9992 0.0275 0.0
-1.3050 -1.0440 5 10 6500 1.0004 -0.0109 0.0
-1.0440 -0.7830 5 10 6500 1.0004 0.0225 0.0
-0.7830 -0.5220 5 10 6500 1.0033 0.0178 0.0
-0.5220 -0.2610 5 10 6500 1.0013 -0.0047 0.0
-0.2610 -0.0000 5 10 6500 1.0026 0.0061 0.0
0.0000 0.2610 5 10 6500 1.0026 0.0061 0.0
0.2610 0.5220 5 10 6500 1.0013 -0.0047 0.0
0.5220 0.7830 5 10 6500 1.0033 0.0178 0.0
0.7830 1.0440 5 10 6500 1.0004 0.0225 0.0
1.0440 1.3050 5 10 6500 1.0004 -0.0109 0.0
1.3050 1.4790 5 10 6500 0.9992 0.0275 0.0
1.4790 1.6530 5 10 6500 1.0007 0.0029 0.0
1.6530 1.9300 5 10 6500 0.9976 0.0133 0.0
1.9300 2.1720 5 10 6500 1.0031 0.0345 0.0
2.1720 2.3220 5 10 6500 0.9989 -0.0200 0.0
2.3220 2.5000 5 10 6500 1.0004 0.0441 0.0
2.5000 2.6500 5 10 6500 1.0223 -0.2265 0.0
2.6500 2.8530 5 10 6500 0.9766 0.5531 0.0
2.8530 2.9640 5 10 6500 1.0357 0.5654 0.0
2.9640 3.1390 5 10 6500 1.0063 0.7910 0.0
3.1390 3.4890 5 10 6500 0.9843 -0.2332 0.0
3.4890 3.8390 5 10 6500 1.0207 0.1572 0.0
3.8390 5.1910 5 10 6500 0.8407 -0.8343 0.0
