{ 1 JetEta 1 JetPt 1./([0]+[1]*100./3.*(TMath::Max(0.,1.03091-0.051154*pow(x,-0.154227))-TMath::Max(0.,1.03091-0.051154*TMath::Power(208.,-0.154227)))+[2]*((-2.36997+0.413917*TMath::Log(x))/x-(-2.36997+0.413917*TMath::Log(208))/208)) Correction L2Relative}
-3.8390 -3.4890 5 10 6500 1.0036 0.0344 0.0
-3.4890 -3.1390 5 10 6500 1.0091 0.0043 0.0
-3.1390 -2.9640 5 10 6500 1.0305 0.1726 0.0
-2.9640 -2.8530 5 10 6500 1.0194 0.0329 0.0
-2.8530 -2.6500 5 10 6500 1.0014 0.0154 0.0
-2.6500 -2.5000 5 10 6500 0.9986 -0.0026 0.0
-2.5000 -2.3220 5 10 6500 1.0009 -0.0008 0.0
-2.3220 -2.1720 5 10 6500 1.0019 -0.0017 0.0
-2.1720 -1.9300 5 10 6500 1.0024 -0.0024 0.0
-1.9300 -1.6530 5 10 6500 1.0019 -0.0039 0.0
-1.6530 -1.4790 5 10 6500 1.0015 0.0009 0.0
-1.4790 -1.3050 5 10 6500 1.0002 0.0055 0.0
-1.3050 -1.0440 5 10 6500 1.0006 -0.0042 0.0
-1.0440 -0.7830 5 10 6500 1.0005 -0.0145 0.0
-0.7830 -0.5220 5 10 6500 0.9997 0.0001 0.0
-0.5220 -0.2610 5 10 6500 1.0007 -0.0121 0.0
-0.2610 -0.0000 5 10 6500 1.0000 -0.0032 0.0
0.0000 0.2610 5 10 6500 1.0000 -0.0032 0.0
0.2610 0.5220 5 10 6500 1.0007 -0.0121 0.0
0.5220 0.7830 5 10 6500 0.9997 0.0001 0.0
0.7830 1.0440 5 10 6500 1.0005 -0.0145 0.0
1.0440 1.3050 5 10 6500 1.0006 -0.0042 0.0
1.3050 1.4790 5 10 6500 1.0002 0.0055 0.0
1.4790 1.6530 5 10 6500 1.0015 0.0009 0.0
1.6530 1.9300 5 10 6500 1.0019 -0.0039 0.0
1.9300 2.1720 5 10 6500 1.0024 -0.0024 0.0
2.1720 2.3220 5 10 6500 1.0019 -0.0017 0.0
2.3220 2.5000 5 10 6500 1.0009 -0.0008 0.0
2.5000 2.6500 5 10 6500 0.9986 -0.0026 0.0
2.6500 2.8530 5 10 6500 1.0014 0.0154 0.0
2.8530 2.9640 5 10 6500 1.0194 0.0329 0.0
2.9640 3.1390 5 10 6500 1.0305 0.1726 0.0
3.1390 3.4890 5 10 6500 1.0091 0.0043 0.0
3.4890 3.8390 5 10 6500 1.0036 0.0344 0.0
